model_family,series_id,dataset,n,expected_n,complete_dataset,distance_sources,mean_km,median_km,std_population_km,rmse_km,min_km,max_km,within_1_km_percent,within_25_km_percent,within_200_km_percent,within_750_km_percent,within_2500_km_percent
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-1,europe-easy,8,8,True,recomputed_geodesic,0.037639,0.00498,0.06034,0.071117,0.001524,0.175408,100.0,100.0,100.0,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-1,europe-hard,8,8,True,recomputed_geodesic,80.000324,62.494904,64.049863,102.481398,16.381273,231.306422,0.0,25.0,87.5,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-1,europe-medium,9,9,True,recomputed_geodesic,47.795989,0.005228,76.466295,90.175113,0.001396,201.607377,66.666667,66.666667,88.888889,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-2,europe-easy,8,8,True,recomputed_geodesic,0.300228,0.202671,0.331314,0.447108,0.033575,1.128595,87.5,100.0,100.0,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-2,europe-hard,8,8,True,recomputed_geodesic,92.755898,70.658923,96.78321,134.05464,12.266179,331.158173,0.0,25.0,87.5,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-2,europe-medium,9,9,True,recomputed_geodesic,24.047758,0.625966,60.980874,65.551214,0.011929,196.072306,66.666667,88.888889,100.0,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-3,europe-easy,8,8,True,recomputed_geodesic,0.911091,0.234974,1.731814,1.956851,0.049956,5.47346,87.5,100.0,100.0,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-3,europe-hard,8,8,True,recomputed_geodesic,89.719803,83.059283,73.050659,115.698063,14.935889,262.364841,0.0,25.0,87.5,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-3,europe-medium,9,9,True,recomputed_geodesic,40.620322,0.836708,72.419767,83.033928,0.038805,186.038374,55.555556,77.777778,100.0,100.0,100.0
gemini-3.7-flash-high,gemini-3.7-flash-high/run-1,europe-easy,8,8,True,recomputed_geodesic,846.603069,773.385142,432.072812,950.486018,387.428977,1933.350736,0.0,0.0,0.0,37.5,100.0
gemini-3.7-flash-high,gemini-3.7-flash-high/run-1,europe-hard,8,8,True,recomputed_geodesic,635.722844,809.060668,289.320074,698.462339,189.505175,909.785458,0.0,0.0,12.5,37.5,100.0
gemini-3.7-flash-high,gemini-3.7-flash-high/run-1,europe-medium,9,9,True,recomputed_geodesic,678.698086,824.398992,265.15041,728.653437,222.327601,992.223954,0.0,0.0,0.0,44.444444,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-1,europe-easy,8,8,True,recomputed_geodesic,0.332004,0.108825,0.525729,0.621786,0.037835,1.682478,87.5,100.0,100.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-1,europe-hard,8,8,True,recomputed_geodesic,75.683153,53.795695,66.743974,100.909354,18.366801,240.310477,0.0,12.5,87.5,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-1,europe-medium,9,9,True,recomputed_geodesic,21.367831,2.60196,51.119837,55.405974,0.254819,165.345967,44.444444,88.888889,100.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-2,europe-easy,8,8,True,recomputed_geodesic,0.004485,0.004529,0.00236,0.005068,0.00051,0.008168,100.0,100.0,100.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-2,europe-hard,8,8,True,recomputed_geodesic,133.428544,63.158698,151.584808,201.943384,27.332485,498.91923,0.0,0.0,75.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-2,europe-medium,9,9,True,recomputed_geodesic,64.830164,13.514208,81.97124,104.509494,0.088557,196.709972,22.222222,55.555556,100.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-3,europe-easy,8,8,True,recomputed_geodesic,0.004685,0.004943,0.002332,0.005234,0.001423,0.009122,100.0,100.0,100.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-3,europe-hard,8,8,True,recomputed_geodesic,48.750721,29.764583,60.447323,77.656369,3.32597,198.569699,0.0,50.0,100.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-3,europe-medium,9,9,True,recomputed_geodesic,43.269698,2.495827,106.679582,115.120806,0.088229,343.993132,22.222222,77.777778,88.888889,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-1,europe-easy,8,8,True,recomputed_geodesic,0.407805,0.223832,0.506088,0.649946,0.001569,1.672872,87.5,100.0,100.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-1,europe-hard,8,8,True,recomputed_geodesic,81.591533,37.286762,104.704312,132.740993,2.301124,331.256201,0.0,50.0,87.5,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-1,europe-medium,9,9,True,recomputed_geodesic,26.770869,1.039004,52.48642,58.919469,0.023251,166.033873,44.444444,77.777778,100.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-2,europe-easy,8,8,True,recomputed_geodesic,0.351408,0.197156,0.452317,0.572781,0.013009,1.504341,87.5,100.0,100.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-2,europe-hard,8,8,True,recomputed_geodesic,88.194024,66.188643,76.144088,116.516557,11.392174,273.226266,0.0,12.5,87.5,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-2,europe-medium,9,9,True,recomputed_geodesic,42.872442,1.899429,74.747334,86.16966,0.260676,197.434705,44.444444,77.777778,100.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-3,europe-easy,8,8,True,recomputed_geodesic,0.388649,0.123821,0.61668,0.728932,0.005524,1.968163,87.5,100.0,100.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-3,europe-hard,8,8,True,recomputed_geodesic,78.636008,63.178082,78.124438,110.846964,17.193492,275.987611,0.0,25.0,87.5,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-3,europe-medium,8,9,False,recomputed_geodesic,48.00403,1.443671,77.703095,91.335414,0.212636,197.560054,37.5,75.0,100.0,100.0,100.0
gemini-3.8-flash-medium-aided,gemini-3.8-flash-medium-aided/run-1,europe-easy,8,8,True,recomputed_geodesic,0.600777,0.126612,1.167659,1.313149,0.0095,3.65832,87.5,100.0,100.0,100.0,100.0
