model_family,series_id,datasets_present,n,expected_n_for_present_datasets,complete_present_datasets,complete_25,distance_sources,mean_km,median_km,std_population_km,rmse_km,min_km,max_km,within_1_km_percent,within_25_km_percent,within_200_km_percent,within_750_km_percent,within_2500_km_percent
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-1,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,42.818704,0.097468,66.743526,79.297792,0.001396,231.306422,56.0,64.0,92.0,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-2,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,38.435153,0.692613,76.290996,85.425857,0.011929,331.158173,52.0,72.0,96.0,100.0,100.0
gemini-3.7-flash-high-aided,gemini-3.7-flash-high-aided/run-3,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,43.625202,2.138795,69.740006,82.260724,0.038805,262.364841,48.0,68.0,96.0,100.0,100.0
gemini-3.7-flash-high,gemini-3.7-flash-high/run-1,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,718.675603,789.832886,346.193207,797.711952,189.505175,1933.350736,0.0,0.0,4.0,40.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-1,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,32.017269,2.60196,57.78077,66.058481,0.037835,240.310477,44.0,68.0,96.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-2,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,66.037428,13.514208,112.343332,130.314873,0.00051,498.91923,40.0,52.0,92.0,100.0,100.0
gemini-3.7-flash-medium-aided,gemini-3.7-flash-medium-aided/run-3,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,31.178821,2.495827,75.687865,81.858242,0.001423,343.993132,40.0,76.0,96.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-1,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,35.877301,1.672872,74.840835,82.995972,0.001569,331.256201,44.0,76.0,96.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-2,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,43.768617,1.899429,71.427189,83.77073,0.013009,273.226266,44.0,64.0,96.0,100.0,100.0
gemini-3.8-flash-high-aided,gemini-3.8-flash-high-aided/run-3,"europe-easy,europe-medium,europe-hard",24,25,False,False,recomputed_geodesic,42.342896,1.9047,71.299781,82.925144,0.005524,275.987611,41.666667,66.666667,95.833333,100.0,100.0
gemini-3.8-flash-medium-aided,gemini-3.8-flash-medium-aided/run-1,"europe-easy,europe-medium,europe-hard",24,25,False,False,recomputed_geodesic,47.080111,7.540405,78.173281,91.255677,0.0095,306.772423,37.5,62.5,95.833333,100.0,100.0
gemini-3.8-flash-medium-aided,gemini-3.8-flash-medium-aided/run-2,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,46.00322,2.130129,69.995383,83.759476,0.001647,272.333801,48.0,56.0,96.0,100.0,100.0
gemini-3.8-flash-medium-aided,gemini-3.8-flash-medium-aided/run-3,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic,37.76385,1.743526,73.320735,82.474472,0.013163,331.22025,44.0,72.0,96.0,100.0,100.0
glm-5.3-flash-max,glm-5.3-flash-max/run-1,"europe-easy,europe-medium,europe-hard",25,25,True,True,recomputed_geodesic_from_verified_mcp_pin,134.036222,22.496036,190.473431,232.907356,0.121585,611.218315,24.0,52.0,76.0,100.0,100.0
