model,config,dataset,n,original_mean_km,no_gui_mean_km,mean_delta_km,mean_delta_ci95_low_km,mean_delta_ci95_high_km,original_median_km,no_gui_median_km,median_delta_km,mean_percent_change,median_percent_change,improved_locations,worsened_locations,ties,improvement_rate_percent,paired_effect_dz,original_within_1km_percent,no_gui_within_1km_percent,original_within_25km_percent,no_gui_within_25km_percent,original_within_200km_percent,no_gui_within_200km_percent,original_within_750km_percent,no_gui_within_750km_percent,original_within_2500km_percent,no_gui_within_2500km_percent
Chipoint v2,chipointv2_local_static,europe-easy,8,431.636625,1254.233,822.5963750000001,-197.685125,2663.117125,91.702,99.7685,1.253000000000009,39.87610783248786,0.9317155346985375,4,4,0,50.0,0.32395089657359527,0.0,0.0,25.0,37.5,62.5,75.0,87.5,87.5,100.0,87.5
Chipoint v2,chipointv2_local_static,europe-hard,8,957.44075,1139.0975,181.65675000000002,-217.69271874999993,577.6843625000013,1161.0445,1517.529,226.8175,21.724294284909764,16.00392195837439,3,5,0,37.5,0.29632253338384007,0.0,0.0,0.0,0.0,0.0,12.5,37.5,37.5,100.0,100.0
Chipoint v2,chipointv2_local_static,europe-medium,9,254.80355555555556,301.75522222222224,46.95166666666666,-100.32877777777777,262.9324444444444,270.288,161.969,-7.274999999999999,-5.158789661669352,-2.7743827649611466,5,4,0,55.55555555555556,0.14965072455200734,0.0,0.0,22.22222222222222,22.22222222222222,33.33333333333333,55.55555555555556,100.0,88.88888888888889,100.0,100.0
GeoCLIP,geoclip_static,europe-easy,8,1141.90675,108.72525,-1033.1815000000001,-2666.839625,48.315250000000006,115.0535,0.605,0.0,-19.562229187096086,0.0,2,1,5,25.0,-0.4492167453688587,37.5,62.5,50.0,75.0,50.0,75.0,75.0,100.0,87.5,100.0
GeoCLIP,geoclip_static,europe-hard,8,2317.0195,1012.597875,-1304.4216250000004,-4307.298675,536.9285,959.434,525.953,-51.7885,2.5193522337199603,-25.4903803300167,4,2,2,50.0,-0.32020151595636615,0.0,0.0,0.0,0.0,12.5,12.5,50.0,62.5,87.5,100.0
GeoCLIP,geoclip_static,europe-medium,9,212.46444444444447,217.24555555555557,4.7811111111111,-131.89124722222223,187.35666666666663,170.033,94.23,-17.399,20.75832086621577,-8.727213394127837,5,2,2,55.55555555555556,0.018358211786737706,0.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,100.0,88.88888888888889,100.0,100.0
PLONK,plonk_osv5m_static,europe-easy,8,864.4576249999999,352.94525,-511.51237499999985,-1681.3387343749998,105.275,130.151,257.9075,8.745000000000005,24.928123704546373,13.584359539029363,3,5,0,37.5,-0.31301807293852474,0.0,0.0,25.0,25.0,75.0,37.5,87.5,87.5,87.5,100.0
PLONK,plonk_osv5m_static,europe-hard,8,481.21025000000003,487.56999999999994,6.359749999999998,-314.47400000000005,367.04550000000006,390.744,352.304,51.153500000000015,133.03863271147011,23.318816297306007,3,5,0,37.5,0.011551193553574892,0.0,0.0,0.0,0.0,37.5,37.5,62.5,75.0,100.0,100.0
PLONK,plonk_osv5m_static,europe-medium,9,197.738,263.39733333333334,65.65933333333334,13.288000000000023,127.80311111111112,165.83,207.412,25.17700000000002,96.0524743609904,52.97643621032822,1,8,0,11.11111111111111,0.7076253294906936,0.0,0.0,33.33333333333333,11.11111111111111,55.55555555555556,44.44444444444444,100.0,100.0,100.0,100.0
SALAD,salad_ivfflat_nprobe64,europe-easy,8,1215.5515,1086.707625,-128.84387500000003,-451.903875,261.40650000000005,992.9605,1060.834,-163.07899999999995,-2.340512326426401,-14.358136664516564,4,2,2,50.0,-0.23266701616569635,0.0,0.0,0.0,0.0,12.5,12.5,25.0,50.0,100.0,100.0
SALAD,salad_ivfflat_nprobe64,europe-hard,8,2275.228875,1880.63675,-394.592125,-809.55375,-58.81462500000001,1510.4015,1103.4475,-35.10500000000002,-28.509002186578016,-10.125585527378457,4,0,4,50.0,-0.6724201487125792,0.0,0.0,0.0,0.0,0.0,12.5,25.0,37.5,75.0,75.0
SALAD,salad_ivfflat_nprobe64,europe-medium,9,531.7924444444444,653.7308888888889,121.93844444444449,-639.2154444444443,797.8567777777778,232.817,182.592,0.0,290.072175749942,0.0,3,4,2,33.333333333333336,0.10463147561424435,11.11111111111111,11.11111111111111,11.11111111111111,22.22222222222222,44.44444444444444,55.55555555555556,77.77777777777779,55.55555555555556,100.0,100.0
