model,config,dataset,location_id,original_error_km,no_gui_error_km,delta_km,percent_change,winner
Chipoint v2,chipointv2_local_static,europe-easy,loc_001,4.804,4.324,-0.48,-9.992,no-location-gui
Chipoint v2,chipointv2_local_static,europe-easy,loc_002,17.141,20.479,3.338,19.474,original
Chipoint v2,chipointv2_local_static,europe-easy,loc_003,51.401,126.778,75.377,146.645,original
Chipoint v2,chipointv2_local_static,europe-easy,loc_004,132.003,134.989,2.986,2.262,original
Chipoint v2,chipointv2_local_static,europe-easy,loc_005,2258.629,9346.186,7087.557,313.799,original
Chipoint v2,chipointv2_local_static,europe-easy,loc_006,312.062,310.818,-1.244,-0.399,no-location-gui
Chipoint v2,chipointv2_local_static,europe-easy,loc_007,627.851,72.759,-555.092,-88.411,no-location-gui
Chipoint v2,chipointv2_local_static,europe-easy,loc_008,49.202,17.531,-31.671,-64.369,no-location-gui
Chipoint v2,chipointv2_local_static,europe-hard,loc_018,1267.097,1772.644,505.547,39.898,original
Chipoint v2,chipointv2_local_static,europe-hard,loc_019,510.25,1702.996,1192.746,233.757,original
Chipoint v2,chipointv2_local_static,europe-hard,loc_020,1180.616,1705.979,525.363,44.499,original
Chipoint v2,chipointv2_local_static,europe-hard,loc_021,1220.818,1332.062,111.244,9.112,original
Chipoint v2,chipointv2_local_static,europe-hard,loc_022,1141.473,279.336,-862.137,-75.528,no-location-gui
Chipoint v2,chipointv2_local_static,europe-hard,loc_023,223.61,75.034,-148.576,-66.444,no-location-gui
Chipoint v2,chipointv2_local_static,europe-hard,loc_024,620.217,406.893,-213.324,-34.395,no-location-gui
Chipoint v2,chipointv2_local_static,europe-hard,loc_025,1495.445,1837.836,342.391,22.896,original
Chipoint v2,chipointv2_local_static,europe-medium,loc_009,303.564,307.39,3.826,1.26,original
Chipoint v2,chipointv2_local_static,europe-medium,loc_010,250.771,45.473,-205.298,-81.867,no-location-gui
Chipoint v2,chipointv2_local_static,europe-medium,loc_011,21.002,12.421,-8.581,-40.858,no-location-gui
Chipoint v2,chipointv2_local_static,europe-medium,loc_012,20.496,13.221,-7.275,-35.495,no-location-gui
Chipoint v2,chipointv2_local_static,europe-medium,loc_013,143.36,161.969,18.609,12.981,original
Chipoint v2,chipointv2_local_static,europe-medium,loc_014,509.68,1351.3,841.62,165.127,original
Chipoint v2,chipointv2_local_static,europe-medium,loc_015,270.288,298.132,27.844,10.302,original
Chipoint v2,chipointv2_local_static,europe-medium,loc_016,460.643,447.863,-12.78,-2.774,no-location-gui
Chipoint v2,chipointv2_local_static,europe-medium,loc_017,313.428,78.028,-235.4,-75.105,no-location-gui
GeoCLIP,geoclip_static,europe-easy,loc_001,5.921,5.921,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-easy,loc_002,0.112,0.112,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-easy,loc_003,0.624,0.624,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-easy,loc_004,0.219,0.219,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-easy,loc_005,2021.297,0.586,-2020.711,-99.971,no-location-gui
GeoCLIP,geoclip_static,europe-easy,loc_006,444.599,637.86,193.261,43.469,original
GeoCLIP,geoclip_static,europe-easy,loc_007,224.186,224.186,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-easy,loc_008,6438.296,0.294,-6438.002,-99.995,no-location-gui
GeoCLIP,geoclip_static,europe-hard,loc_018,1728.587,2125.935,397.348,22.987,original
GeoCLIP,geoclip_static,europe-hard,loc_019,613.269,2376.602,1763.333,287.53,original
GeoCLIP,geoclip_static,europe-hard,loc_020,744.932,365.16,-379.772,-50.981,no-location-gui
GeoCLIP,geoclip_static,europe-hard,loc_021,11890.881,686.746,-11204.135,-94.225,no-location-gui
GeoCLIP,geoclip_static,europe-hard,loc_022,1173.936,265.366,-908.57,-77.395,no-location-gui
GeoCLIP,geoclip_static,europe-hard,loc_023,2018.158,2018.158,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-hard,loc_024,152.855,49.278,-103.577,-67.762,no-location-gui
GeoCLIP,geoclip_static,europe-hard,loc_025,213.538,213.538,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-medium,loc_009,304.218,124.871,-179.347,-58.953,no-location-gui
GeoCLIP,geoclip_static,europe-medium,loc_010,170.421,201.558,31.137,18.271,original
GeoCLIP,geoclip_static,europe-medium,loc_011,25.926,25.926,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-medium,loc_012,91.482,74.083,-17.399,-19.019,no-location-gui
GeoCLIP,geoclip_static,europe-medium,loc_013,47.589,47.589,0.0,0.0,tie
GeoCLIP,geoclip_static,europe-medium,loc_014,400.854,80.154,-320.7,-80.004,no-location-gui
GeoCLIP,geoclip_static,europe-medium,loc_015,170.033,803.352,633.319,372.468,original
GeoCLIP,geoclip_static,europe-medium,loc_016,551.585,503.447,-48.138,-8.727,no-location-gui
GeoCLIP,geoclip_static,europe-medium,loc_017,150.072,94.23,-55.842,-37.21,no-location-gui
PLONK,plonk_osv5m_static,europe-easy,loc_001,5.433,3.554,-1.879,-34.585,no-location-gui
PLONK,plonk_osv5m_static,europe-easy,loc_002,8.545,6.431,-2.114,-24.74,no-location-gui
PLONK,plonk_osv5m_static,europe-easy,loc_003,92.538,213.042,120.504,130.221,original
PLONK,plonk_osv5m_static,europe-easy,loc_004,167.764,302.773,135.009,80.476,original
PLONK,plonk_osv5m_static,europe-easy,loc_005,378.538,380.593,2.055,0.543,original
PLONK,plonk_osv5m_static,europe-easy,loc_006,197.049,387.486,190.437,96.644,original
PLONK,plonk_osv5m_static,europe-easy,loc_007,57.97,73.405,15.435,26.626,original
PLONK,plonk_osv5m_static,europe-easy,loc_008,6007.824,1456.278,-4551.546,-75.76,no-location-gui
PLONK,plonk_osv5m_static,europe-hard,loc_018,1029.689,1021.149,-8.54,-0.829,no-location-gui
PLONK,plonk_osv5m_static,europe-hard,loc_019,396.808,485.854,89.046,22.441,original
PLONK,plonk_osv5m_static,europe-hard,loc_020,103.706,1204.693,1100.987,1061.643,original
PLONK,plonk_osv5m_static,europe-hard,loc_021,868.666,195.624,-673.042,-77.48,no-location-gui
PLONK,plonk_osv5m_static,europe-hard,loc_022,879.808,222.13,-657.678,-74.752,no-location-gui
PLONK,plonk_osv5m_static,europe-hard,loc_023,90.106,111.909,21.803,24.197,original
PLONK,plonk_osv5m_static,europe-hard,loc_024,96.219,176.723,80.504,83.667,original
PLONK,plonk_osv5m_static,europe-hard,loc_025,384.68,482.478,97.798,25.423,original
PLONK,plonk_osv5m_static,europe-medium,loc_009,369.762,394.939,25.177,6.809,original
PLONK,plonk_osv5m_static,europe-medium,loc_010,234.074,207.412,-26.662,-11.39,no-location-gui
PLONK,plonk_osv5m_static,europe-medium,loc_011,21.295,25.694,4.399,20.657,original
PLONK,plonk_osv5m_static,europe-medium,loc_012,165.83,378.299,212.469,128.125,original
PLONK,plonk_osv5m_static,europe-medium,loc_013,15.502,46.093,30.591,197.336,original
PLONK,plonk_osv5m_static,europe-medium,loc_014,489.503,513.964,24.461,4.997,original
PLONK,plonk_osv5m_static,europe-medium,loc_015,433.589,663.289,229.7,52.976,original
PLONK,plonk_osv5m_static,europe-medium,loc_016,47.226,129.72,82.494,174.679,original
PLONK,plonk_osv5m_static,europe-medium,loc_017,2.861,11.166,8.305,290.283,original
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_001,929.182,393.944,-535.238,-57.603,no-location-gui
SALAD,salad_ivfflat_nprobe64,europe-easy,loc_002,2437.092,1737.25,-699.842,-28.716,no-location-gui
